"countryterritoryCode","countriesAndTerritories","cases","lat","lng"
"ZMB","Zambia",84,-15.4166,28.2833
"LIE","Liechtenstein",82,47.1337,9.5167
"SLE","Sierra_Leone",82,8.47,-13.2342
"BRB","Barbados",76,13.102,-59.6165
"UGA","Uganda",75,0.3167,32.5833
"BHS","Bahamas",73,25.0834,-77.35
"GUY","Guyana",73,6.802,-58.167
"SXM","Sint_Maarten",73,18.0255,-63.045
"HTI","Haiti",72,18.541,-72.336
"MOZ","Mozambique",65,-25.9553,32.5892
"LBY","Libya",61,32.8925,13.18
"BEN","Benin",58,6.4,2.52
"GNB","Guinea_Bissau",52,11.865,-15.5984
"NPL","Nepal",49,27.7167,85.3166
"SYR","Syria",42,33.5,36.3
"SWZ","Eswatini",40,-26.4667,31.2
"TCD","Chad",40,12.1131,15.0491
"ERI","Eritrea",39,15.3333,38.9333
"MNG","Mongolia",36,47.9167,106.9166
"MWI","Malawi",33,-13.9833,33.7833
"ZWE","Zimbabwe",29,-17.8178,31.0447
"AGO","Angola",25,-8.8383,13.2344
"ATG","Antigua_and_Barbuda",24,17.118,-61.85
"TLS","Timor_Leste",24,-8.5594,125.5795
"BWA","Botswana",22,-24.6463,25.9119
"CAF","Central_African_Republic",19,4.3666,18.5583
"LAO","Laos",19,17.9667,102.6
"BLZ","Belize",18,17.252,-88.7671
"FJI","Fiji",18,-18.133,178.4417
"CUW","Curaçao",16,12.2004,-69.02
"DMA","Dominica",16,15.301,-61.387
"NAM","Namibia",16,-22.57,17.0835
"GRD","Grenada",15,12.0526,-61.7416
"KNA","Saint_Kitts_and_Nevis",15,17.302,-62.717
"LCA","Saint_Lucia",15,14.002,-61
"MNP","Northern_Mariana_Islands",14,15.2137,145.7546
"VCT","Saint_Vincent_and_the_Grenadines",14,13.1483,-61.2121
"BDI","Burundi",12,-3.4271,29.9246
"NIC","Nicaragua",11,12.153,-86.2685
"SYC","Seychelles",11,-4.6166,55.45
"GMB","Gambia",10,13.4539,-16.5917
"SUR","Suriname",10,5.835,-55.167
"PNG","Papua_New_Guinea",8,-9.4647,147.1925
"STP","Sao_Tome_and_Principe",8,0.3334,6.7333
"BTN","Bhutan",7,27.473,89.639
"MRT","Mauritania",7,18.0864,-15.9753
"SSD","South_Sudan",5,4.83,31.58
"YEM","Yemen",1,15.3547,44.2066
